brand_id,official_domain,vertical_l1,vertical_l2,original_brand_name,cleaned_brand_name,selected_source,brand_quality,final_brand_score,original_name_score,domain_candidate_score,reasons
brand_soundcloud-com_24dff067,soundcloud.com,pet,pet_supplies,Soundcloud,Soundcloud,original_brand_name,valid,0.901,1,0.75,
brand_weforum-org_081485d6,weforum.org,saas,productivity,Chief economists have clear ideas about AI productivity gains,Weforum,domain_candidate,valid,0.8175,0.35,0.75,too_long|too_many_tokens
brand_forumsport-com_3f52f59e,forumsport.com,sports_outdoor,fitness,Tienda de deportes en Tudela,Forumsport,domain_candidate,valid,0.8212,0.7,0.75,too_many_tokens
brand_gov-in_6ca8b982,gov.in,travel_hospitality,hotel_booking,Gov,Gov,original_brand_name,valid,0.985,1,0.75,
brand_live-com_cc525963,live.com,art_culture,craft,Live,Live,original_brand_name,valid,0.901,1,0.75,
brand_cloudflare-com_486972a0,cloudflare.com,b2b_services,business_service,Cloudflare,Cloudflare,original_brand_name,valid,0.901,1,0.75,
brand_tumblr-com_64235172,tumblr.com,baby_parenting,baby_products,Tumblr,Tumblr,original_brand_name,valid,0.901,1,0.75,
brand_com-pl_3a051bb6,com.pl,beauty_personal_care,skincare,BEAUTY FORUM,Com,domain_candidate,valid,0.8212,0.55,0.75,non_brand_hint
brand_collinsdictionary-com_7cd87e51,collinsdictionary.com,consumer_electronics,smartphone,LEADING 释义,LEADING 释义,original_brand_name,valid,1,1,0.75,
brand_nytimes-com_87a10fe6,nytimes.com,developer_tools,dev_platform,Nytimes,Nytimes,original_brand_name,valid,0.901,1,0.75,
brand_flickr-com_de6eb4c7,flickr.com,education,online_learning,Flickr,Flickr,original_brand_name,valid,0.901,1,0.75,
brand_fashionforum-dk_63cd6d40,fashionforum.dk,fashion,apparel,Fashion Forum dækker den danske modebranche,Fashionforum,domain_candidate,valid,0.8062,0.25,0.75,too_many_tokens|non_brand_hint
brand_f5-com_fc360b34,f5.com,finance,digital_banking,F5,F5,original_brand_name,valid,0.901,1,0.75,
brand_food-forum-pl_977c2d3f,food-forum.pl,food_beverage,snacks,Food Forum,Food Forum,domain_candidate,valid,0.8025,0.55,0.75,non_brand_hint
brand_tripmerge-com_1431b4b6,tripmerge.com,gaming_entertainment,gaming,4 Hidden Desert and Oasis Villages Around the World,Tripmerge,domain_candidate,valid,0.825,0,0.75,too_long|too_many_tokens|non_brand_hint
brand_creativecommons-org_51db91f5,creativecommons.org,health_wellness,healthcare,Creativecommons,Creativecommons,original_brand_name,valid,0.901,1,0.75,
brand_sciencedirect-com_8cbc17f5,sciencedirect.com,home_appliance,kitchen_appliance,Sciencedirect,Sciencedirect,original_brand_name,valid,0.901,1,0.75,
brand_googleblog-com_02ac689c,googleblog.com,home_improvement,home_decor,Googleblog,Googleblog,original_brand_name,valid,0.901,1,0.75,
brand_debian-org_f1f24587,debian.org,local_services,food_delivery,Debian,Debian,original_brand_name,valid,0.901,1,0.75,
brand_wa-me_82d0524d,wa.me,mobility,automotive,Wa,Wa,original_brand_name,valid,0.901,1,0.75,
brand_plesk-com_c8a8b70f,plesk.com,pet,pet_supplies,Plesk,Plesk,original_brand_name,valid,0.901,1,0.75,
brand_nginx-com_2cf05871,nginx.com,saas,productivity,Nginx,Nginx,original_brand_name,valid,0.901,1,0.75,
brand_vimeo-com_b876a37d,vimeo.com,sports_outdoor,fitness,Vimeo,Vimeo,original_brand_name,valid,0.901,1,0.75,
brand_wordpress-com_bafde328,wordpress.com,travel_hospitality,hotel_booking,Wordpress,Wordpress,original_brand_name,valid,0.901,1,0.75,
brand_researchgate-net_760c754a,researchgate.net,art_culture,craft,Researchgate,Researchgate,original_brand_name,valid,0.901,1,0.75,
brand_cookiedatabase-org_8de9146c,cookiedatabase.org,b2b_services,business_service,Cookiedatabase,Cookiedatabase,original_brand_name,valid,0.901,1,0.75,
brand_who-int_39157d2a,who.int,baby_parenting,baby_products,Who,Who,original_brand_name,valid,0.901,1,0.75,
brand_nih-gov_06344faf,nih.gov,beauty_personal_care,cosmetics,Cosmetics and Your Health,Cosmetics and Your Health,original_brand_name,valid,0.9962,1,0.75,
brand_eudic-net_0746a1e1,eudic.net,consumer_electronics,smartphone,leading的解释和发音 「欧路词典」英汉,Eudic,domain_candidate,valid,0.825,0.35,0.75,non_brand_hint|cjk_too_long_for_brand
brand_cnn-com_c917ab8c,cnn.com,developer_tools,dev_platform,Cnn,Cnn,original_brand_name,valid,0.901,1,0.75,
brand_vk-com_993ee817,vk.com,education,online_learning,Vk,Vk,original_brand_name,valid,0.901,1,0.75,
brand_youtu-be_916beeb6,youtu.be,fashion,apparel,Youtu,Youtu,original_brand_name,valid,0.901,1,0.75,
brand_office-com_e65dcd5a,office.com,finance,digital_banking,Office,Office,original_brand_name,valid,0.901,1,0.75,
brand_whatsapp-com_0b521d5f,whatsapp.com,food_beverage,snacks,Whatsapp,Whatsapp,original_brand_name,valid,0.901,1,0.75,
brand_wanderlix-com_08d3d734,wanderlix.com,gaming_entertainment,gaming,20 of the most beautiful villages on the cliff,Wanderlix,domain_candidate,valid,0.825,0.7,0.75,too_many_tokens
brand_dropcatch-com_39bf2978,dropcatch.com,health_wellness,healthcare,Dropcatch,Dropcatch,original_brand_name,valid,0.901,1,0.75,
brand_mit-edu_511c63f1,mit.edu,home_appliance,kitchen_appliance,Mit,Mit,original_brand_name,valid,0.901,1,0.75,
brand_washingtonpost-com_8bae4eaf,washingtonpost.com,home_improvement,home_decor,Washingtonpost,Washingtonpost,original_brand_name,valid,0.901,1,0.75,
brand_calendly-com_c93d6242,calendly.com,local_services,food_delivery,Calendly,Calendly,original_brand_name,valid,0.901,1,0.75,
brand_archive-org_6a55ce7e,archive.org,mobility,automotive,Archive,Archive,original_brand_name,valid,0.901,1,0.75,
brand_mysql-com_85d5cd32,mysql.com,pet,pet_supplies,Mysql,Mysql,original_brand_name,valid,0.901,1,0.75,
brand_godaddy-com_4fce9822,godaddy.com,saas,productivity,Godaddy,Godaddy,original_brand_name,valid,0.901,1,0.75,
brand_macromedia-com_87462a61,macromedia.com,sports_outdoor,fitness,Macromedia,Macromedia,original_brand_name,valid,0.901,1,0.75,
brand_w3-org_0e4371c6,w3.org,travel_hospitality,hotel_booking,W3,W3,original_brand_name,valid,0.901,1,0.75,
brand_stanford-edu_711ae51c,stanford.edu,art_culture,craft,Stanford,Stanford,original_brand_name,valid,0.901,1,0.75,
brand_canva-com_bdf90231,canva.com,b2b_services,business_service,Canva,Canva,original_brand_name,valid,0.901,1,0.75,
brand_issuu-com_56005e4d,issuu.com,baby_parenting,baby_products,Issuu,Issuu,original_brand_name,valid,0.901,1,0.75,
brand_github-com_f5825304,github.com,beauty_personal_care,skincare,Github,Github,original_brand_name,valid,0.901,1,0.75,
brand_bilibili-com_648c4b6a,bilibili.com,consumer_electronics,smartphone,盘点火爆全网的流行舞蹈，你最喜欢第几个1#舞蹈 #热门舞蹈 ...,Bilibili,domain_candidate,valid,0.825,0,0.75,non_brand_hint|cjk_sentence_pattern|cjk_too_long_for_brand|ellipsis
brand_un-org_7847d793,un.org,developer_tools,dev_platform,Un,Un,original_brand_name,valid,0.901,1,0.75,
brand_cdc-gov_5edc5808,cdc.gov,education,online_learning,Cdc,Cdc,original_brand_name,valid,0.901,1,0.75,
brand_goo-gl_7a1709b1,goo.gl,fashion,footwear,Goo,Goo,original_brand_name,valid,0.901,1,0.75,
brand_dropbox-com_0cd6ee23,dropbox.com,finance,digital_banking,Dropbox,Dropbox,original_brand_name,valid,0.901,1,0.75,
brand_amazonaws-com_50e81c08,amazonaws.com,food_beverage,snacks,Amazonaws,Amazonaws,original_brand_name,valid,0.901,1,0.75,
brand_3dmgame-com_73fb88e3,3dmgame.com,gaming_entertainment,gaming,热门游戏,3dmgame,domain_candidate,valid,0.825,0.55,0.75,non_brand_hint
brand_linktr-ee_0a5039d2,linktr.ee,health_wellness,healthcare,Linktr,Linktr,original_brand_name,valid,0.901,1,0.75,
brand_discord-gg_a5175d26,discord.gg,home_appliance,kitchen_appliance,Discord,Discord,original_brand_name,valid,0.901,1,0.75,
brand_etsy-com_c36d4fb4,etsy.com,home_improvement,home_decor,Etsy,Etsy,original_brand_name,valid,0.901,1,0.75,
brand_oup-com_5b00eb4e,oup.com,local_services,food_delivery,Oup,Oup,original_brand_name,valid,0.901,1,0.75,
brand_shopify-com_95568ea3,shopify.com,mobility,automotive,Shopify,Shopify,original_brand_name,valid,0.901,1,0.75,
brand_hp-com_99d66c73,hp.com,pet,pet_supplies,Hp,Hp,original_brand_name,valid,0.901,1,0.75,
brand_opera-com_21402628,opera.com,saas,productivity,Opera,Opera,original_brand_name,valid,0.901,1,0.75,
brand_wixsite-com_a6f9e3da,wixsite.com,sports_outdoor,fitness,Wixsite,Wixsite,original_brand_name,valid,0.901,1,0.75,
brand_youtube-nocookie-com_f5e8b5a3,youtube-nocookie.com,travel_hospitality,hotel_booking,Youtube Nocookie,Youtube Nocookie,original_brand_name,valid,0.901,1,0.75,
brand_ietf-org_22f7b445,ietf.org,art_culture,craft,Ietf,Ietf,original_brand_name,valid,0.901,1,0.75,
brand_stripe-com_26492087,stripe.com,b2b_services,business_service,Stripe,Stripe,original_brand_name,valid,0.901,1,0.75,
brand_statista-com_2c966f30,statista.com,baby_parenting,baby_products,Statista,Statista,original_brand_name,valid,0.901,1,0.75,
brand_wordpress-org_28e723ea,wordpress.org,beauty_personal_care,cosmetics,Wordpress,Wordpress,original_brand_name,valid,0.901,1,0.75,
brand_dxomark-cn_50ec6222,dxomark.cn,consumer_electronics,smartphone,Smartphone Reviews,Dxomark,domain_candidate,valid,0.825,0.55,0.75,non_brand_hint
brand_list-manage-com_97464cff,list-manage.com,developer_tools,dev_platform,List Manage,List Manage,original_brand_name,valid,0.901,1,0.75,
brand_businessinsider-com_71727c1a,businessinsider.com,education,online_learning,Businessinsider,Businessinsider,original_brand_name,valid,0.901,1,0.75,
brand_qq-com_0b33c434,qq.com,fashion,apparel,Qq,Qq,original_brand_name,valid,0.901,1,0.75,
brand_weebly-com_0e808dda,weebly.com,finance,digital_banking,Weebly,Weebly,original_brand_name,valid,0.901,1,0.75,
brand_t-co_3b8dd752,t.co,food_beverage,snacks,T,T,domain_candidate,suspect,0.481,0.4,0.4,too_short|domain_root_too_short
brand_bbc-com_f1f3da93,bbc.com,gaming_entertainment,gaming,A hidden village carved into a cliff,Bbc,domain_candidate,valid,0.825,0.25,0.75,too_many_tokens|non_brand_hint
brand_amzn-to_243b5656,amzn.to,health_wellness,healthcare,Amzn,Amzn,original_brand_name,valid,0.901,1,0.75,
brand_twitch-tv_b60af923,twitch.tv,home_appliance,kitchen_appliance,Twitch,Twitch,original_brand_name,valid,0.901,1,0.75,
brand_firefox-com_ebf94db2,firefox.com,home_improvement,home_decor,Firefox,Firefox,original_brand_name,valid,0.901,1,0.75,
brand_sina-com-cn_2bab01c7,sina.com.cn,local_services,food_delivery,Sina,Sina,original_brand_name,valid,0.901,1,0.75,
brand_g-page_b18b152e,g.page,mobility,automotive,G,G,domain_candidate,suspect,0.481,0.4,0.4,too_short|domain_root_too_short
brand_ted-com_ccf9fc8b,ted.com,pet,pet_supplies,Ted,Ted,original_brand_name,valid,0.901,1,0.75,
brand_wikimedia-org_b24d201e,wikimedia.org,saas,productivity,Wikimedia,Wikimedia,original_brand_name,valid,0.901,1,0.75,
brand_wiley-com_a8a425ed,wiley.com,sports_outdoor,fitness,Wiley,Wiley,original_brand_name,valid,0.901,1,0.75,
brand_imdb-com_02856202,imdb.com,travel_hospitality,hotel_booking,Imdb,Imdb,original_brand_name,valid,0.901,1,0.75,
brand_dailymail-co-uk_3d72f2bd,dailymail.co.uk,art_culture,craft,Dailymail,Dailymail,original_brand_name,valid,0.901,1,0.75,
brand_techcrunch-com_1ddcc72c,techcrunch.com,b2b_services,business_service,Techcrunch,Techcrunch,original_brand_name,valid,0.901,1,0.75,
brand_myshopify-com_f7e08ea6,myshopify.com,baby_parenting,baby_products,Myshopify,Myshopify,original_brand_name,valid,0.901,1,0.75,
brand_gov-cn_46e02606,gov.cn,beauty_personal_care,skincare,Gov,Gov,original_brand_name,valid,0.901,1,0.75,
brand_cambridge-org_8fc6f915,cambridge.org,consumer_electronics,smartphone,TOP,TOP,original_brand_name,valid,1,1,0.75,
brand_go-com_779aa8bc,go.com,developer_tools,dev_platform,Go,Go,original_brand_name,valid,0.901,1,0.75,
brand_slideshare-net_2e88db10,slideshare.net,education,online_learning,Slideshare,Slideshare,original_brand_name,valid,0.901,1,0.75,
brand_spotify-com_e4e77f51,spotify.com,fashion,footwear,Spotify,Spotify,original_brand_name,valid,0.901,1,0.75,
brand_unsplash-com_20c65a9d,unsplash.com,finance,digital_banking,Unsplash,Unsplash,original_brand_name,valid,0.901,1,0.75,
brand_gnu-org_2554f1b6,gnu.org,food_beverage,snacks,Gnu,Gnu,original_brand_name,valid,0.901,1,0.75,
brand_admiddleeast-com_454e64e8,admiddleeast.com,gaming_entertainment,gaming,Welcome to the World’s Steepest Villages,Admiddleeast,domain_candidate,valid,0.825,0.7,0.75,too_many_tokens
brand_stackoverflow-com_3c20ec22,stackoverflow.com,health_wellness,healthcare,Stackoverflow,Stackoverflow,original_brand_name,valid,0.901,1,0.75,
brand_usatoday-com_61a5c329,usatoday.com,home_appliance,kitchen_appliance,Usatoday,Usatoday,original_brand_name,valid,0.901,1,0.75,
brand_google-de_9570bdfd,google.de,home_improvement,home_decor,Google,Google,original_brand_name,valid,0.901,1,0.75,
brand_redhat-com_bdd9396a,redhat.com,local_services,food_delivery,Redhat,Redhat,original_brand_name,valid,0.901,1,0.75,
brand_openai-com_f95611b8,openai.com,mobility,automotive,Openai,Openai,original_brand_name,valid,0.901,1,0.75,
brand_squarespace-com_d49a12c2,squarespace.com,pet,pet_supplies,Squarespace,Squarespace,original_brand_name,valid,0.901,1,0.75,
brand_telegram-me_bde8961c,telegram.me,saas,productivity,Telegram,Telegram,original_brand_name,valid,0.901,1,0.75,
brand_gov-uk_ab2753f9,gov.uk,sports_outdoor,fitness,Gov,Gov,original_brand_name,valid,0.901,1,0.75,
brand_expireddomains-com_156fc179,expireddomains.com,travel_hospitality,hotel_booking,Expireddomains,Expireddomains,original_brand_name,valid,0.901,1,0.75,
brand_unesco-org_b2b65099,unesco.org,art_culture,craft,Unesco,Unesco,original_brand_name,valid,0.901,1,0.75,
brand_dailymotion-com_c835f1e4,dailymotion.com,b2b_services,business_service,Dailymotion,Dailymotion,original_brand_name,valid,0.901,1,0.75,
brand_ft-com_11a01d5b,ft.com,baby_parenting,baby_products,Ft,Ft,original_brand_name,valid,0.901,1,0.75,
brand_doi-org_72da55db,doi.org,beauty_personal_care,skincare,Doi,Doi,original_brand_name,valid,0.901,1,0.75,
brand_com-hk_dcaf8c8b,com.hk,consumer_electronics,smartphone,智能手機,智能手機,original_brand_name,valid,1,1,0.75,
brand_g-co_6a31dc9e,g.co,developer_tools,dev_platform,G,G,domain_candidate,suspect,0.481,0.4,0.4,too_short|domain_root_too_short
brand_hubspot-com_08990184,hubspot.com,education,online_learning,Hubspot,Hubspot,original_brand_name,valid,0.901,1,0.75,
brand_paypal-com_560ede5e,paypal.com,fashion,apparel,Paypal,Paypal,original_brand_name,valid,0.901,1,0.75,
brand_behance-net_4e165b36,behance.net,finance,digital_banking,Behance,Behance,original_brand_name,valid,0.901,1,0.75,
brand_nasa-gov_ec4fa734,nasa.gov,food_beverage,snacks,Nasa,Nasa,original_brand_name,valid,0.901,1,0.75,
brand_uaktravel-com_6ba15410,uaktravel.com,gaming_entertainment,gaming,"Kampung Pelegong Ulu: A Natural Escape in Labu, Negeri Sembilan",Uaktravel,domain_candidate,valid,0.8175,0.05,0.75,too_long|too_many_tokens|sentence_punctuation
brand_substack-com_cbb864a7,substack.com,health_wellness,healthcare,Substack,Substack,original_brand_name,valid,0.901,1,0.75,
brand_britannica-com_4221ea70,britannica.com,home_appliance,kitchen_appliance,Britannica,Britannica,original_brand_name,valid,0.901,1,0.75,
brand_pixabay-com_80c2942f,pixabay.com,home_improvement,home_decor,Pixabay,Pixabay,original_brand_name,valid,0.901,1,0.75,
brand_goodreads-com_9a1b919b,goodreads.com,local_services,food_delivery,Goodreads,Goodreads,original_brand_name,valid,0.901,1,0.75,
brand_aol-com_21378a82,aol.com,mobility,automotive,Aol,Aol,original_brand_name,valid,0.901,1,0.75,
brand_latimes-com_70201b6f,latimes.com,pet,pet_supplies,Latimes,Latimes,original_brand_name,valid,0.901,1,0.75,
brand_npr-org_ce85eb1d,npr.org,saas,productivity,Npr,Npr,original_brand_name,valid,0.901,1,0.75,
brand_googleusercontent-com_40526fd6,googleusercontent.com,sports_outdoor,fitness,Googleusercontent,Googleusercontent,original_brand_name,valid,0.901,1,0.75,
brand_sharepoint-com_3183d144,sharepoint.com,travel_hospitality,hotel_booking,Sharepoint,Sharepoint,original_brand_name,valid,0.901,1,0.75,
brand_mailchimp-com_a9fee24d,mailchimp.com,art_culture,craft,Mailchimp,Mailchimp,original_brand_name,valid,0.901,1,0.75,
brand_ieee-org_0c9054e3,ieee.org,b2b_services,business_service,Ieee,Ieee,original_brand_name,valid,0.901,1,0.75,
brand_ca-gov_02b376d4,ca.gov,baby_parenting,baby_products,Ca,Ca,original_brand_name,valid,0.901,1,0.75,
brand_theguardian-com_d96080e4,theguardian.com,beauty_personal_care,cosmetics,Theguardian,Theguardian,original_brand_name,valid,0.901,1,0.75,
brand_chinesewords-org_8d00f0d9,chinesewords.org,consumer_electronics,smartphone,leading中文，leading的意思，leading翻譯及用法,Chinesewords,domain_candidate,valid,0.825,0,0.75,non_brand_hint|cjk_sentence_pattern|cjk_too_long_for_brand
brand_free-fr_0b8e23d5,free.fr,developer_tools,dev_platform,Free,Free,original_brand_name,valid,0.901,1,0.75,
brand_independent-co-uk_0777de51,independent.co.uk,education,online_learning,Independent,Independent,original_brand_name,valid,0.901,1,0.75,
brand_oracle-com_9966038a,oracle.com,fashion,footwear,Oracle,Oracle,original_brand_name,valid,0.901,1,0.75,
brand_cnet-com_f8322c90,cnet.com,finance,digital_banking,Cnet,Cnet,original_brand_name,valid,0.901,1,0.75,
brand_time-com_9edb4207,time.com,food_beverage,snacks,Time,Time,original_brand_name,valid,0.901,1,0.75,
brand_xbox-com_92ef7b6e,xbox.com,gaming_entertainment,gaming,游戏和应用程序,游戏和应用程序,original_brand_name,valid,0.9895,1,0.75,
brand_booking-com_997f7683,booking.com,health_wellness,healthcare,Booking,Booking,original_brand_name,valid,0.901,1,0.75,
brand_hbr-org_4fc130ed,hbr.org,home_appliance,kitchen_appliance,Hbr,Hbr,original_brand_name,valid,0.901,1,0.75,
brand_aliyun-com_cc1e1a4c,aliyun.com,home_improvement,home_decor,Aliyun,Aliyun,original_brand_name,valid,0.901,1,0.75,
brand_readthedocs-io_9aaadb92,readthedocs.io,local_services,food_delivery,Readthedocs,Readthedocs,original_brand_name,valid,0.901,1,0.75,
brand_gouv-fr_c4e692bd,gouv.fr,mobility,automotive,Gouv,Gouv,original_brand_name,valid,0.901,1,0.75,
brand_freepik-com_c97e9fa5,freepik.com,pet,pet_supplies,Freepik,Freepik,original_brand_name,valid,0.901,1,0.75,
brand_bsky-app_ccf70953,bsky.app,saas,productivity,Bsky,Bsky,original_brand_name,valid,0.901,1,0.75,
brand_trustpilot-com_dac5a461,trustpilot.com,sports_outdoor,fitness,Trustpilot,Trustpilot,original_brand_name,valid,0.901,1,0.75,
brand_blogger-com_335b31ca,blogger.com,travel_hospitality,hotel_booking,Blogger,Blogger,original_brand_name,valid,0.901,1,0.75,
brand_netflix-com_aaee523e,netflix.com,art_culture,craft,Netflix,Netflix,original_brand_name,valid,0.901,1,0.75,
brand_sedo-com_03efdd1a,sedo.com,b2b_services,business_service,Sedo,Sedo,original_brand_name,valid,0.901,1,0.75,
brand_theverge-com_600163e1,theverge.com,baby_parenting,baby_products,Theverge,Theverge,original_brand_name,valid,0.901,1,0.75,
brand_bbc-co-uk_4e831e80,bbc.co.uk,beauty_personal_care,skincare,Bbc,Bbc,original_brand_name,valid,0.901,1,0.75,
brand_zhihu-com_aa8ea1b6,zhihu.com,consumer_electronics,pet_supplies,博客类网站.com和.top域名之间该如何选择?,Zhihu,domain_candidate,valid,0.8196,0,0.75,non_brand_hint|sentence_punctuation|cjk_sentence_pattern|cjk_too_long_for_brand
brand_mckinsey-com_bc70f283,mckinsey.com,developer_tools,dev_platform,Mckinsey,Mckinsey,original_brand_name,valid,0.901,1,0.75,
brand_iso-org_d1dc318b,iso.org,education,online_learning,Iso,Iso,original_brand_name,valid,0.901,1,0.75,
brand_harvard-edu_2b9e0c08,harvard.edu,fashion,apparel,Harvard,Harvard,original_brand_name,valid,0.901,1,0.75,
brand_networkadvertising-org_2d2dd74e,networkadvertising.org,finance,digital_banking,Networkadvertising,Networkadvertising,original_brand_name,valid,0.901,1,0.75,
brand_loc-gov_bc9fb5a2,loc.gov,food_beverage,snacks,Loc,Loc,original_brand_name,valid,0.901,1,0.75,
brand_splashtravels-com_d74657e6,splashtravels.com,gaming_entertainment,gaming,"An Arizona man's runaway mule led him to an untouched, 600",Splashtravels,domain_candidate,valid,0.81,0.35,0.75,too_long|too_many_tokens
brand_princeton-edu_53ecc93b,princeton.edu,health_wellness,healthcare,Princeton,Princeton,original_brand_name,valid,0.901,1,0.75,
brand_mailchi-mp_da39ba69,mailchi.mp,home_appliance,kitchen_appliance,Mailchi,Mailchi,original_brand_name,valid,0.901,1,0.75,
brand_youronlinechoices-com_666c7691,youronlinechoices.com,home_improvement,home_decor,Youronlinechoices,Youronlinechoices,original_brand_name,valid,0.901,1,0.75,
brand_kickstarter-com_465ddee4,kickstarter.com,local_services,food_delivery,Kickstarter,Kickstarter,original_brand_name,valid,0.901,1,0.75,
